,fsrcnn_psnr,fsrcnn_ssim,fsrcnn_lpips,fsrcnn_niqe,srresnet_psnr,srresnet_ssim,msrresnet_lpips,msrresnet_niqe
0,25.239,0.707,0.4,7.214,25.344,0.714,0.379,6.958
1,23.455,0.59,0.557,9.148,23.717,0.601,0.536,9.477
2,23.72,0.623,0.507,8.123,23.975,0.636,0.481,8.369
3,21.942,0.54,0.61,9.544,22.13,0.549,0.593,10.41
4,23.445,0.59,0.558,9.002,23.62,0.598,0.539,9.254
5,22.706,0.579,0.533,8.715,22.88,0.589,0.518,9.113
6,20.448,0.495,0.658,9.09,20.716,0.507,0.654,11.189
7,24.96,0.649,0.5,7.81,25.122,0.659,0.475,8.126
8,20.571,0.499,0.658,9.461,20.84,0.51,0.65,11.036
9,23.053,0.61,0.503,8.185,22.672,0.608,0.481,8.211
10,21.295,0.522,0.632,9.837,21.535,0.532,0.617,10.446
11,24.274,0.621,0.521,8.175,24.502,0.631,0.499,8.313
12,21.193,0.517,0.643,9.738,21.447,0.529,0.625,10.591
13,24.365,0.624,0.53,8.538,24.536,0.632,0.509,8.604
14,21.945,0.547,0.59,9.252,22.11,0.555,0.576,9.908
15,20.081,0.484,0.653,7.985,20.5,0.501,0.668,11.166
16,25.578,0.674,0.462,8.317,25.902,0.685,0.441,8.194
17,21.307,0.519,0.639,9.968,21.509,0.527,0.623,10.659
18,24.029,0.622,0.506,8.098,24.636,0.658,0.454,6.933
19,24.15,0.626,0.499,7.607,24.395,0.642,0.471,7.66
20,23.712,0.607,0.532,8.264,24.032,0.622,0.508,8.392
21,23.149,0.582,0.567,9.43,23.358,0.592,0.548,9.755
22,22.151,0.551,0.599,9.391,22.436,0.565,0.576,9.94
23,21.526,0.526,0.621,9.714,21.834,0.539,0.606,10.302
24,20.501,0.506,0.627,8.371,20.855,0.52,0.614,9.88
25,22.111,0.548,0.603,9.585,22.54,0.562,0.582,9.893
26,24.285,0.633,0.52,7.479,24.482,0.642,0.497,7.754
27,25.154,0.663,0.451,8.039,25.681,0.69,0.411,7.289
28,27.071,0.738,0.391,7.102,27.38,0.748,0.373,6.834
29,24.333,0.632,0.492,7.785,25.403,0.675,0.444,7.584
30,23.314,0.587,0.564,9.399,23.538,0.596,0.542,9.518
31,21.072,0.513,0.646,9.704,21.301,0.523,0.63,10.735
32,26.478,0.714,0.429,7.17,26.799,0.727,0.4,6.91
33,22.016,0.544,0.61,9.507,22.199,0.552,0.595,9.95
34,24.73,0.663,0.464,7.226,25.049,0.679,0.434,7.26
35,25.495,0.671,0.467,7.864,25.764,0.682,0.441,7.86
36,21.09,0.517,0.634,9.788,21.529,0.532,0.616,10.34
37,24.264,0.647,0.49,7.433,24.362,0.654,0.467,7.476
38,24.711,0.633,0.516,8.624,24.919,0.642,0.496,8.653
39,24.198,0.63,0.504,8.08,24.438,0.641,0.477,8.306
40,21.633,0.528,0.617,9.545,22.099,0.548,0.592,9.93
41,23.077,0.576,0.572,9.025,23.315,0.587,0.552,9.456
42,22.312,0.552,0.594,9.487,22.563,0.563,0.58,9.865
43,24.087,0.663,0.44,7.178,24.226,0.674,0.413,7.079
44,22.406,0.557,0.584,9.548,22.942,0.576,0.556,9.655
45,22.211,0.549,0.592,9.232,22.569,0.563,0.574,9.813
46,21.792,0.54,0.593,9.205,22.02,0.551,0.579,9.954
47,25.48,0.68,0.445,7.527,26.113,0.708,0.407,7.055
48,19.66,0.481,0.686,10.093,19.961,0.49,0.69,11.616
49,23.892,0.607,0.544,8.791,24.118,0.617,0.523,8.876
50,24.772,0.64,0.496,8.631,25.084,0.653,0.474,8.693
51,25.13,0.657,0.488,8.401,25.479,0.67,0.463,8.37
52,23.344,0.599,0.542,8.72,23.448,0.607,0.519,8.978
53,23.042,0.581,0.533,8.698,23.345,0.596,0.512,9.092
54,21.177,0.523,0.632,10.329,21.185,0.526,0.618,10.856
55,24.303,0.634,0.505,8.493,24.422,0.642,0.485,8.54
56,23.894,0.613,0.524,8.702,23.995,0.62,0.503,9.148
57,21.414,0.522,0.623,9.752,21.648,0.533,0.607,10.362
58,19.658,0.482,0.693,10.555,19.844,0.489,0.697,11.922
59,21.008,0.515,0.64,10.102,21.228,0.524,0.624,10.496
60,20.43,0.504,0.649,9.779,20.533,0.511,0.636,10.81
61,24.463,0.641,0.472,7.512,25.032,0.674,0.426,7.119
62,21.252,0.518,0.632,9.865,21.513,0.529,0.615,10.36
63,25.216,0.693,0.42,7.202,25.44,0.705,0.394,7.124
64,23.554,0.609,0.523,8.738,23.678,0.619,0.5,8.744
65,24.63,0.638,0.514,8.103,24.807,0.646,0.492,8.308
66,22.516,0.568,0.572,9.214,22.683,0.578,0.553,9.516
67,21.728,0.548,0.59,9.1,21.821,0.556,0.572,9.832
68,21.673,0.531,0.627,9.735,21.879,0.541,0.609,10.267
69,21.917,0.546,0.606,9.557,22.326,0.559,0.585,9.853
70,25.889,0.683,0.457,7.451,26.163,0.696,0.427,7.397
71,21.959,0.552,0.572,8.673,22.262,0.566,0.553,9.019
72,20.211,0.491,0.658,8.88,20.711,0.509,0.651,10.743
73,23.342,0.605,0.536,8.841,23.41,0.61,0.515,8.958
74,22.654,0.569,0.562,8.942,22.956,0.583,0.544,9.326
75,20.879,0.506,0.643,9.265,21.124,0.516,0.638,10.922
76,20.736,0.502,0.648,9.038,21.032,0.515,0.641,10.885
77,24.54,0.64,0.504,8.345,24.942,0.652,0.483,8.31
78,20.968,0.517,0.637,9.738,21.175,0.526,0.62,10.437
79,24.774,0.637,0.511,8.232,24.987,0.646,0.491,8.495
80,21.244,0.519,0.633,9.894,21.455,0.528,0.621,10.554
81,20.446,0.511,0.628,9.625,20.471,0.515,0.61,10.11
82,23.13,0.581,0.555,8.909,23.546,0.598,0.532,9.488
83,20.973,0.512,0.644,9.903,21.232,0.522,0.627,10.805
84,22.697,0.575,0.559,8.328,22.888,0.585,0.544,8.783
85,20.856,0.506,0.646,9.591,21.188,0.519,0.635,10.985
86,20.784,0.507,0.654,9.627,20.965,0.516,0.639,10.798
87,23.912,0.618,0.51,8.318,24.101,0.63,0.488,8.297
88,22.75,0.568,0.574,9.328,22.973,0.579,0.554,9.718
89,21.525,0.529,0.623,9.377,21.933,0.544,0.602,9.856
90,25.092,0.674,0.466,7.696,25.291,0.683,0.44,7.709
91,24.637,0.641,0.511,7.643,24.844,0.651,0.488,8.063
92,22.43,0.555,0.591,9.353,22.645,0.566,0.574,9.851
93,21.401,0.524,0.631,10.049,21.592,0.532,0.614,10.525
94,21.741,0.531,0.62,9.735,22.028,0.543,0.604,10.351
95,22.323,0.554,0.569,9.382,23.875,0.623,0.489,7.905
96,22.541,0.577,0.55,9.183,22.57,0.581,0.531,9.424
97,20.163,0.493,0.674,9.831,20.337,0.501,0.669,11.191
98,24.204,0.636,0.494,8.144,24.306,0.643,0.471,8.241
99,20.669,0.503,0.657,9.608,20.867,0.513,0.647,11.15